AREA,PERIMETER,COLUMBUS_,COLUMBUS_I,POLYID,NEIG,HOVAL,INC,CRIME,OPEN,PLUMB,DISCBD,X,Y,NSA,NSB,EW,CP,THOUS,NEIGNO
0.104355,1.524931,31,34,30,34,22.500000,13.906000,68.892044,1.638780,15.600624,0.370000,38.290001,30.350000,0.000000,0.000000,0.000000,1.000000,1000.000000,1034.000000
0.117409,1.716047,32,45,31,45,31.799999,16.940001,17.677214,3.936443,0.853890,3.780000,27.940001,29.850000,1.000000,1.000000,0.000000,0.000000,1000.000000,1045.000000
0.185580,2.108951,33,13,32,13,40.299999,18.941999,19.145592,2.221022,0.255102,4.760000,50.110001,29.910000,0.000000,0.000000,1.000000,0.000000,1000.000000,1013.000000
0.087472,1.507971,34,22,33,22,23.600000,9.918000,41.968163,0.000000,1.023891,2.280000,44.099998,30.400000,0.000000,0.000000,1.000000,1.000000,1000.000000,1022.000000
0.226594,2.519132,35,44,34,44,28.450001,14.948000,23.974028,3.029087,0.386803,3.060000,30.320000,28.260000,0.000000,0.000000,0.000000,0.000000,1000.000000,1044.000000
0.175453,1.974937,36,23,35,23,27.000000,12.814000,39.175053,4.220401,0.633675,2.370000,43.700001,29.180000,0.000000,0.000000,1.000000,1.000000,1000.000000,1023.000000
0.178130,1.790058,37,46,36,46,36.299999,18.739000,14.305556,6.773331,0.332349,4.230000,27.270000,28.209999,0.000000,0.000000,0.000000,0.000000,1000.000000,1046.000000
0.121154,1.402252,38,30,37,30,43.299999,17.017000,42.445076,4.839273,1.230329,1.080000,38.320000,28.820000,0.000000,0.000000,1.000000,1.000000,1000.000000,1030.000000
0.053881,0.934509,39,24,38,24,22.700001,11.107000,53.710938,0.000000,0.800000,1.580000,41.040001,28.780001,0.000000,0.000000,1.000000,1.000000,1000.000000,1024.000000
0.174823,2.335402,40,47,39,47,39.599998,18.476999,19.100863,0.000000,0.314663,5.530000,24.250000,26.690001,0.000000,0.000000,0.000000,0.000000,1000.000000,1047.000000
0.302908,2.285487,41,16,40,16,61.950001,29.833000,16.241299,6.451310,0.132743,4.400000,48.439999,27.930000,0.000000,0.000000,1.000000,0.000000,1000.000000,1016.000000
0.137024,1.525097,42,14,41,14,42.099998,22.207001,18.905146,0.293317,0.247036,5.330000,51.240002,27.799999,0.000000,0.000000,1.000000,0.000000,1000.000000,1014.000000
0.266541,2.176543,43,49,42,49,44.333000,25.872999,16.491890,1.792993,0.134439,3.870000,29.020000,26.580000,0.000000,0.000000,0.000000,0.000000,1000.000000,1049.000000
0.060241,0.967793,44,29,43,29,25.700001,13.380000,36.663612,0.000000,0.589226,1.950000,41.090000,27.490000,0.000000,0.000000,1.000000,1.000000,1000.000000,1029.000000
0.173337,1.868044,45,25,44,25,33.500000,16.961000,25.962263,1.463993,0.329761,2.670000,43.230000,27.309999,0.000000,0.000000,1.000000,0.000000,1000.000000,1025.000000
0.256431,2.193039,46,28,45,28,27.733000,14.135000,29.028488,1.006118,2.391200,2.130000,39.320000,25.850000,0.000000,0.000000,1.000000,1.000000,1000.000000,1028.000000
0.124728,1.841029,47,48,46,48,76.099998,18.323999,16.530533,9.683953,0.424628,5.270000,25.469999,25.709999,0.000000,0.000000,0.000000,0.000000,1000.000000,1048.000000
0.245249,2.079986,48,15,47,15,42.500000,18.950001,27.822861,0.000000,0.268817,5.570000,50.889999,25.240000,0.000000,0.000000,1.000000,0.000000,1000.000000,1015.000000
0.069762,1.102032,49,27,48,27,26.799999,11.813000,26.645266,4.884389,1.034807,2.330000,41.209999,25.900000,0.000000,0.000000,1.000000,1.000000,1000.000000,1027.000000
0.205964,2.199169,50,26,49,26,35.799999,18.796000,22.541491,0.259826,0.901442,3.030000,42.669998,24.959999,0.000000,0.000000,1.000000,0.000000,1000.000000,1026.000000
